valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.748,2018,0.175,"['Thalia', 'Natti Natasha']",0.837,217653,0.784,0,1G586ld1gbaECg4Bc6w40O,0,7,0.0897,-4.531,0,No Me Acuerdo,71,09/11/2018,0.101,94.036
0.101,2018,0.202,['Young the Giant'],0.75,237747,0.365,0,14KP6cmTImZmrcAC5m0Azd,0.0082,7,0.122,-6.741,1,Call Me Back,58,12/10/2018,0.0372,89.981
0.448,2018,0.133,['Ben Rector'],0.445,226827,0.771,0,4m1lB7qJ78VPYsQy7RoBcU,0,0,0.273,-4.607,1,I Will Always Be Yours,58,22/06/2018,0.0501,147.913
0.467,2018,0.327,['BTS'],0.711,284981,0.903,0,6L1rxT6NUotot2AAiLXGLj,0,6,0.0887,-2.723,0,Tear,67,24/08/2018,0.247,140.015
0.454,2018,0.107,['Cardi B'],0.947,229005,0.788,1,1vBeIXlzbAieGoDqInav5j,0.000691,10,0.108,-6.138,0,Money Bag,60,06/04/2018,0.124,129.977
0.125,2018,0.893,['Trippie Redd'],0.615,164577,0.444,1,6m3LlhdZ0HWn4D7Nnm06MQ,8.06E-06,8,0.127,-6.773,0,Together,58,10/08/2018,0.0282,120.098
0.456,2018,0.447,['Kiana Ledé'],0.789,181267,0.435,1,0TYhf0MgEj4YJaKwo5c4Km,0,1,0.135,-7.042,0,Wicked Games,60,13/07/2018,0.0599,72.973
0.513,2018,0.286,['YoungBoy Never Broke Again'],0.598,194792,0.605,1,7E6knQgEAcU0nIjQJuwrIv,0,7,0.0875,-4.92,0,Genie,56,29/06/2018,0.452,159.517
0.383,2018,5.40E-05,['Pop Evil'],0.548,203274,0.945,0,3pOMQhSSzx6IZ96kMef6i1,0.0421,4,0.199,-3.126,0,Be Legendary,59,16/02/2018,0.0519,93.96
0.638,2018,0.189,['Gabby Barrett'],0.716,227662,0.684,0,1y9jnUTgn4u8RzybqK8WFT,0,10,0.104,-3.052,1,Rivers Deep,58,18/05/2018,0.0339,114.058
0.421,2018,0.375,['The Rose'],0.36,237577,0.533,0,0TxSk5fpK01cBLV9ePqcE6,0,3,0.0768,-4.394,1,She's In The Rain,65,04/10/2018,0.0302,92.854
0.63,2018,0.576,['Fujitsu'],0.784,147692,0.312,0,5rBQIzDduJsmDbZ97gqWEW,0.851,4,0.128,-14.648,0,sand castles,61,21/09/2018,0.0513,129.94
0.902,2018,0.0195,['Nathaniel Rateliff & The Night Sweats'],0.486,190533,0.721,0,1q5wF1wZQD41ura41yVqXb,0.00491,0,0.117,-6.619,1,A Little Honey,57,09/03/2018,0.0303,150.09
0.499,2018,0.000541,['Layto'],0.676,198857,0.787,0,6TqoydI7ZJdRkwBgPYy7eb,0,1,0.431,-7.453,1,Little Poor Me,64,13/04/2018,0.0308,139.958
0.246,2018,0.892,['Tyler Childers'],0.444,319853,0.21,0,2JaIIUKcFXkgMRL3v3mZEK,2.13E-05,3,0.839,-13.5,1,Bottles and Bibles (Live),56,29/06/2018,0.0352,140.939
0.721,2018,0.161,"['J Balvin', 'Zion & Lennox']",0.684,250840,0.811,0,5qFeMRz4TvetPmzjre9Dq7,0.000363,7,0.0871,-4.494,1,No Es Justo,69,25/05/2018,0.0714,87.866
0.261,2018,0.903,"[""j'san""]",0.656,121905,0.295,0,1wtrm5eTeRfEXyJNF4Low1,0.444,9,0.123,-15.808,0,when the leaves come falling down,61,30/03/2018,0.0477,125.992
0.334,2018,0.00354,"['Drake', 'JAY-Z']",0.758,223240,0.491,1,4ksuI04WMvUnJbHQjgs3L5,6.50E-06,11,0.292,-9.877,1,Talk Up (feat. Jay-Z),60,29/06/2018,0.138,140.121
0.421,2018,0.479,['Lil Wayne'],0.641,212428,0.579,1,6y4pOReFqH2wzo4CV91cZC,9.58E-05,9,0.214,-8.276,1,Mess,57,28/09/2018,0.0896,145.995
